Unnamed: 0,transcription,recognized,phonetic_ev,new_path,lang,mos_pred
0,"Myaryosiwtina,",tрsk那,0.7315668202764977,/home/kesha/dev/uni/kursach/refs/asr/new_audio/0.wav,yrk,2.444467067718506
1,sawanyeǣǣy.,你,0.9090909090909092,/home/kesha/dev/uni/kursach/refs/asr/new_audio/1.wav,yrk,2.206069231033325
2,"Padaniyutʃitʹq,",bs,0.8731182795698924,/home/kesha/dev/uni/kursach/refs/asr/new_audio/2.wav,yrk,2.8257663249969482
3,piryeyesyadatănya.,下這的,0.9444444444444444,/home/kesha/dev/uni/kursach/refs/asr/new_audio/3.wav,yrk,3.8088295459747314
4,"Săwawnamacraaa,",y,0.9440860215053762,/home/kesha/dev/uni/kursach/refs/asr/new_audio/4.wav,yrk,1.9863580465316772
5,"maciŋamaciŋa,",mosendernose,0.2915632754342431,/home/kesha/dev/uni/kursach/refs/asr/new_audio/5.wav,yrk,1.5965664386749268
6,"săwawnamacampii,",o那麼人皮,0.8870967741935484,/home/kesha/dev/uni/kursach/refs/asr/new_audio/6.wav,yrk,2.168022394180298
7,ŋokawnamac-imacampi.,oconapasymaamp,0.3282258064516129,/home/kesha/dev/uni/kursach/refs/asr/new_audio/7.wav,yrk,2.661083936691284
8,Ʃamyanmac-yammaldambi..,smanmosbomalsonp,0.3765778401122019,/home/kesha/dev/uni/kursach/refs/asr/new_audio/8.wav,yrk,3.498560667037964
9,"Maraŋgaŋǣya,",marın்கalnü,0.4798387096774193,/home/kesha/dev/uni/kursach/refs/asr/new_audio/9.wav,yrk,3.4571030139923096
10,ʃunraaŋodyapir.,onnatahannosinkan,0.366223908918406,/home/kesha/dev/uni/kursach/refs/asr/new_audio/10.wav,yrk,2.894395589828491
11,"AmănyaqnyerdyenyānataynaŋilnyanatiMuŋguyhnyanailyewacʹ,kolocŋǣnyu""",ernantanemlnesemuguyanilawadconhosmen,0.4971112181030332,/home/kesha/dev/uni/kursach/refs/asr/new_audio/11.wav,yrk,1.8900877237319946
12,Tănyananyaărqŋǣsisʹ.,eeegardemefi,0.4741935483870967,/home/kesha/dev/uni/kursach/refs/asr/new_audio/12.wav,yrk,2.405681610107422
13,Itănyanatioyhninyasoyadmh,тн去х認所言,0.96,/home/kesha/dev/uni/kursach/refs/asr/new_audio/13.wav,yrk,2.3884804248809814
15,Tădtikādtikioyhninyasoyaqmaădăni,paihoñеsоlmtel,0.6456653225806451,/home/kesha/dev/uni/kursach/refs/asr/new_audio/15.wav,yrk,1.5284178256988525
16,"padnăwamitǣwi""",ad,0.8571428571428571,/home/kesha/dev/uni/kursach/refs/asr/new_audio/16.wav,yrk,2.0761988162994385
18,natʃalʹniyklass'yolʹcyandhpadnadmh,macaldecoafuchatonda,0.4686907020872865,/home/kesha/dev/uni/kursach/refs/asr/new_audio/18.wav,yrk,2.450291156768799
20,Tădtikaădnatʃalʹniyklass'pud,kanmacennecomafun,0.4711981566820276,/home/kesha/dev/uni/kursach/refs/asr/new_audio/20.wav,yrk,2.2181050777435303
22,Karaulănhpyeryeʃyolpyatiyklassănh,caruinserisoiarticol,0.4408602150537634,/home/kesha/dev/uni/kursach/refs/asr/new_audio/22.wav,yrk,1.9625740051269531
24,TitikimǣǣnataminniKaraulănayolʹcyeyawh,umanataminacarlolti,0.513157894736842,/home/kesha/dev/uni/kursach/refs/asr/new_audio/24.wav,yrk,3.0397331714630127
27,"Tădtăkadtityedahtikimǣnyuq,yolʹcyeqmaădani,yetyaoyhnihmăncăralluwh",topatiтiкмеlnsmazаniхоdimasрon,0.6148582600195506,/home/kesha/dev/uni/kursach/refs/asr/new_audio/27.wav,yrk,2.6242597103118896
28,Piliqponhoyhnihmăncăralqnyowamh,ipnoiمم,0.7741935483870968,/home/kesha/dev/uni/kursach/refs/asr/new_audio/28.wav,yrk,1.828554391860962
29,Nisyaniwǣsakohŋǣsiittikaădmănʹmăncăralluwh,isiluuesagunisstamanmasl,0.4550691244239631,/home/kesha/dev/uni/kursach/refs/asr/new_audio/29.wav,yrk,1.9711122512817383
30,"Tiŋămgǣhpirathmăncarawaqtănyana,",ngetartemanferautenyan,0.4012096774193548,/home/kesha/dev/uni/kursach/refs/asr/new_audio/30.wav,yrk,1.9722604751586914
31,tiMuŋguyănasyantipomǣnakǣwaq.,smgulanasansipoandegu,0.3353726362625139,/home/kesha/dev/uni/kursach/refs/asr/new_audio/31.wav,yrk,2.0431158542633057
33,TădtikaădtaqălʹnyayusidnaqUstʹPortănhsidnaqtǣwraq,etalariusendapuzpurtensennesteuna,0.4068466096115865,/home/kesha/dev/uni/kursach/refs/asr/new_audio/33.wav,yrk,2.011658191680908
34,"SowocOktyabrʹskiyŋǣǣqnyu""",аkоsacaprсkimahи,0.4987096774193549,/home/kesha/dev/uni/kursach/refs/asr/new_audio/34.wav,yrk,1.634496808052063
35,Aga.Tăka?],,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/35.wav,yrk,1.5593950748443604
36,"Ŋǣya,Oktyabrʹskiysowocănatyukoonamăncăradmh.",numeyacapuskisacosanmiscunnomansere,0.314516129032258,/home/kesha/dev/uni/kursach/refs/asr/new_audio/36.wav,yrk,2.3804173469543457
37,Nyerdyepǣdariqnyanamăncăradmh,neripesrinanomaserad,0.3848720800889877,/home/kesha/dev/uni/kursach/refs/asr/new_audio/37.wav,yrk,2.157294511795044
38,"Tădtikaădtayna,tyukutaqălʹnyanamăncăradmh,tăinkihnyakunamǣwacʹ",detaaeneunlanamasaрatahınkinakommawar,0.4599375650364203,/home/kesha/dev/uni/kursach/refs/asr/new_audio/38.wav,yrk,2.9357659816741943
39,"Ta,tităryemhmăncăraqmaădănaqsyanawpoǣnyaki",lacitarmaomandasanakoiniki,0.4285714285714286,/home/kesha/dev/uni/kursach/refs/asr/new_audio/39.wav,yrk,2.7178795337677
40,"Ti,siqiwyuqŋămgǣǣwpoona,yekar"".",sy更,0.9032258064516128,/home/kesha/dev/uni/kursach/refs/asr/new_audio/40.wav,yrk,3.270663022994995
41,"Siqiwyuqmăt""poŋǣwiŋǣbtă",siunimatkomuuna,0.4081346423562413,/home/kesha/dev/uni/kursach/refs/asr/new_audio/41.wav,yrk,3.610645055770874
42,Tamălyaŋgănanyerdyenyaŋăcyeki,anenerenmasqe,0.5839822024471634,/home/kesha/dev/uni/kursach/refs/asr/new_audio/42.wav,yrk,2.2122817039489746
43,nyeŋăcyekǣminyaărpoypodasʹ,nesgemenarculporas,0.3982630272952854,/home/kesha/dev/uni/kursach/refs/asr/new_audio/43.wav,yrk,2.3675477504730225
44,Titinaqwǣwakoabcyaŋgănaaq.,jitünwakuahaksukanaha,0.3318858560794044,/home/kesha/dev/uni/kursach/refs/asr/new_audio/44.wav,yrk,3.8012161254882812
45,Lucahwadawnamancʹsibirskiyyacwaănaaq,usoadonomartisipirskilasbörna,0.2907706093189964,/home/kesha/dev/uni/kursach/refs/asr/new_audio/45.wav,yrk,2.521599054336548
47,"Timălyaŋgi,tamălyaŋgǣǣdmăncărawi,măncaratyedahtiŋudiniŋǣyaq,",maetablicamasrauimasrattatimuninaey,0.4809139784946236,/home/kesha/dev/uni/kursach/refs/asr/new_audio/47.wav,yrk,2.249852418899536
48,ŋǣniŋodʹbyatohwǣwaqŋǣqnimh,,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/48.wav,yrk,2.137948751449585
49,oyhniymhyadrisyurtyeqnisăwawh,onigadrfsif,0.6434927697441601,/home/kesha/dev/uni/kursach/refs/asr/new_audio/49.wav,yrk,1.9923269748687744
50,"Titamălyaŋgănatyeda'tităryemhŋǣqnyuh,nyerdyenyayanhŋǣsuqniwamh,",cansusteteniceneledianesia,0.604710701484895,/home/kesha/dev/uni/kursach/refs/asr/new_audio/50.wav,yrk,2.9906623363494873
52,Tikimǣǣnaŋănihraciyawaqyaŋgu,wnrt,0.868663594470046,/home/kesha/dev/uni/kursach/refs/asr/new_audio/52.wav,yrk,2.073594093322754
54,"Tibrigadirwaq,",иclигадеw,0.8099078341013826,/home/kesha/dev/uni/kursach/refs/asr/new_audio/54.wav,yrk,2.52023983001709
55,"tahŋănihtakinyenǣcyamhŋǣdătambapyasyǎti,",aanttedantamaabarla,0.5582218725413061,/home/kesha/dev/uni/kursach/refs/asr/new_audio/55.wav,yrk,1.7070653438568115
56,tʃtobtakiraciyasawǣynyenǣcyaŋgqmancʹǣsyǎtiwa,oakaracetuinatakali,0.5939068100358422,/home/kesha/dev/uni/kursach/refs/asr/new_audio/56.wav,yrk,1.6388365030288696
57,tinaqtăryemhăyaq.,eетмаne,0.7428842504743833,/home/kesha/dev/uni/kursach/refs/asr/new_audio/57.wav,yrk,1.2919844388961792
58,Tikiqŋuliqlǣkdaq.,emulacla,0.5550284629981024,/home/kesha/dev/uni/kursach/refs/asr/new_audio/58.wav,yrk,1.8346129655838013
59,"Maqnyu"":""Tărcyayadyembădăăna",manitasesedesicodane,0.3968894009216591,/home/kesha/dev/uni/kursach/refs/asr/new_audio/59.wav,yrk,2.353386878967285
61,"Tădtikaădtibrigadirmimaqnyu"":",ekasikrgagirumano,0.436040044493882,/home/kesha/dev/uni/kursach/refs/asr/new_audio/61.wav,yrk,1.7669296264648438
62,"""Mănihsitnyahǣǣnih",umunifepnahe,0.4229390681003584,/home/kesha/dev/uni/kursach/refs/asr/new_audio/62.wav,yrk,1.8114516735076904
63,"titakidalʹniyarkaŋǣsinh,",aetalcommisi,0.5389784946236559,/home/kesha/dev/uni/kursach/refs/asr/new_audio/63.wav,yrk,1.7276792526245117
64,"tănyanaraciyadohtanyawa""",ratii,0.7970430107526881,/home/kesha/dev/uni/kursach/refs/asr/new_audio/64.wav,yrk,1.6038793325424194
65,"Mǣtitănya'ăyanih,ŋuliqyadyembi",tedلياد,0.7688172043010753,/home/kesha/dev/uni/kursach/refs/asr/new_audio/65.wav,yrk,2.5429675579071045
66,"Ŋobhpyaaya,tănyahtǣwinihtikikakrac",etecяtиmуnичкикоra,0.6774193548387096,/home/kesha/dev/uni/kursach/refs/asr/new_audio/66.wav,yrk,1.8307204246520996
67,pǣwsyumnyaŋiraciyahlaănawamhtǣwamih,esienaratilannoutewame,0.4248847926267282,/home/kesha/dev/uni/kursach/refs/asr/new_audio/67.wav,yrk,2.2262027263641357
68,Tiraciyaănamaq.,aratenma,0.489247311827957,/home/kesha/dev/uni/kursach/refs/asr/new_audio/68.wav,yrk,1.972249984741211
69,"Tikādtikariinapǣwsyumnyanasaltqninyu""tikiq",ebaskarinopuesnansantiniski,0.401305683563748,/home/kesha/dev/uni/kursach/refs/asr/new_audio/69.wav,yrk,2.421656370162964
70,tikiqtănyanamǣnaqtikitiqlyekarmh,анянумонескитиикар,0.9375,/home/kesha/dev/uni/kursach/refs/asr/new_audio/70.wav,yrk,1.9661786556243896
