,transcription,recognized,phonetic_ev,new_path,lang
0,"Myaryosiwtina,",ðatɪsʃiʊkkinaʊ,0.31451612903225806,/home/kesha/dev/uni/kursach/refs/asr/new_audio/0.wav,yrk
1,sawanyeǣǣy.,rɔə,0.752199413489736,/home/kesha/dev/uni/kursach/refs/asr/new_audio/1.wav,yrk
2,"Padaniyutʃitʹq,",wezaɪnoʊʊldʧd,0.36451612903225805,/home/kesha/dev/uni/kursach/refs/asr/new_audio/2.wav,yrk
3,piryeyesyadatănya.,teʃosdɪn,0.5851254480286738,/home/kesha/dev/uni/kursach/refs/asr/new_audio/3.wav,yrk
4,"Săwawnamacraaa,",ðəoʊldbəŋʤihɑrmərðəənʤɔðətaθər,0.5849462365591399,/home/kesha/dev/uni/kursach/refs/asr/new_audio/4.wav,yrk
5,"maciŋamaciŋa,",lsnmɛtəənmoʊse,0.40898617511520735,/home/kesha/dev/uni/kursach/refs/asr/new_audio/5.wav,yrk
6,"săwawnamacampii,",feoʊoɪnðəmdɔnp,0.3397177419354839,/home/kesha/dev/uni/kursach/refs/asr/new_audio/6.wav,yrk
7,ŋokawnamac-imacampi.,mɔkonəmharozimmaɪəlzənbik,0.3767741935483872,/home/kesha/dev/uni/kursach/refs/asr/new_audio/7.wav,yrk
8,Ʃamyanmac-yammaldambi..,ʧaɪməndmoʊzðɛrmɔlzɔnpi,0.28330995792426367,/home/kesha/dev/uni/kursach/refs/asr/new_audio/8.wav,yrk
9,"Maraŋgaŋǣya,",mɑdərngovn,0.3131720430107527,/home/kesha/dev/uni/kursach/refs/asr/new_audio/9.wav,yrk
10,ʃunraaŋodyapir.,wɔnnətəhəŋgɔzɪŋpʊt,0.35663082437275984,/home/kesha/dev/uni/kursach/refs/asr/new_audio/10.wav,yrk
11,"AmănyaqnyerdyenyānataynaŋilnyanatiMuŋguyhnyanailyewacʹ,kolocŋǣnyu""",bətwɪnrinaðədaɪevnətmuvdaʊnɛzðəwɪnkwidəniilrwərktkɔldhɔθiɪɪ,0.3119884448724121,/home/kesha/dev/uni/kursach/refs/asr/new_audio/11.wav,yrk
12,Tănyananyaărqŋǣsisʹ.,ənəðərdɑdɪnðəfɪs,0.4241935483870968,/home/kesha/dev/uni/kursach/refs/asr/new_audio/12.wav,yrk
13,Itănyanatioyhninyasoyadmh,ɪtsðənemzjʊhɔɪiənfərjɛt,0.30193548387096775,/home/kesha/dev/uni/kursach/refs/asr/new_audio/13.wav,yrk
15,Tădtikādtikioyhninyasoyaqmaădăni,dəʧgræsəkeɪtshɔriənzfərəmɔrðɪni,0.3306451612903226,/home/kesha/dev/uni/kursach/refs/asr/new_audio/15.wav,yrk
16,"padnăwamitǣwi""",raɪzəlɪŋwɪθjuwʊt,0.39415322580645157,/home/kesha/dev/uni/kursach/refs/asr/new_audio/16.wav,yrk
18,natʃalʹniyklass'yolʹcyandhpadnadmh,nətaɪtinikwəlɔfɪθwənɔt,0.43690702087286526,/home/kesha/dev/uni/kursach/refs/asr/new_audio/18.wav,yrk
20,Tădtikaădnatʃalʹniyklass'pud,ðətkətnðətrɛdɪniklɔswʊt,0.3289170506912443,/home/kesha/dev/uni/kursach/refs/asr/new_audio/20.wav,yrk
22,Karaulănhpyeryeʃyolpyatiyklassănh,kətəwʊlnbutɪsojaθikomən,0.3973607038123168,/home/kesha/dev/uni/kursach/refs/asr/new_audio/22.wav,yrk
24,TitikimǣǣnataminniKaraulănayolʹcyeyawh,itʧkəngmnətdaɪmijʊrkətərwʊlɔɪnðəorteɪbə,0.3043837882547561,/home/kesha/dev/uni/kursach/refs/asr/new_audio/24.wav,yrk
27,"Tădtăkadtityedahtikimǣnyuq,yolʹcyeqmaădani,yetyaoyhnihmăncăralluwh",nətotvækjutiənkərmejuərʤəmiðənithiθɔtfərhoɪŋjuənsərɔnl,0.3663245356793744,/home/kesha/dev/uni/kursach/refs/asr/new_audio/27.wav,yrk
28,Piliqponhoyhnihmăncăralqnyowamh,ɪigripwənhoʊɪŋjuməstɔɪəwən,0.3527575442247659,/home/kesha/dev/uni/kursach/refs/asr/new_audio/28.wav,yrk
29,Nisyaniwǣsakohŋǣsiittikaădmănʹmăncăralluwh,ðisinuɛsəkwunizhædtɪkləlmɛniwɪθhəroʊldbut,0.3410138248847926,/home/kesha/dev/uni/kursach/refs/asr/new_audio/29.wav,yrk
30,"Tiŋămgǣhpirathmăncarawaqtănyana,",ioʊvərhərdfərmənʧætɔɪlwɪθðəjənnət,0.36901270772238515,/home/kesha/dev/uni/kursach/refs/asr/new_audio/30.wav,yrk
31,tiMuŋguyănasyantipomǣnakǣwaq.,ðəməŋgwiəndəθaɪziboʊldɪnðəgərwʊt,0.282258064516129,/home/kesha/dev/uni/kursach/refs/asr/new_audio/31.wav,yrk
33,TădtikaădtaqălʹnyayusidnaqUstʹPortănhsidnaqtǣwraq,ðətsgəstərtinæiwɑsenwɪʧɔrstənsətnsdewda,0.30085582620144835,/home/kesha/dev/uni/kursach/refs/asr/new_audio/33.wav,yrk
34,"SowocOktyabrʹskiyŋǣǣqnyu""",əhɔrsəʤiɑpərtəsgɪvzmaɪhit,0.3864516129032259,/home/kesha/dev/uni/kursach/refs/asr/new_audio/34.wav,yrk
35,Aga.Tăka?],mðəkga,0.4870967741935484,/home/kesha/dev/uni/kursach/refs/asr/new_audio/35.wav,yrk
36,"Ŋǣya,Oktyabrʹskiysowocănatyukoonamăncăradmh.",doʊnteiəvkælwətsgivsoʊhəzɔniʧwədnʊtwənsəraɪ,0.33687683284457476,/home/kesha/dev/uni/kursach/refs/asr/new_audio/36.wav,yrk
37,Nyerdyepǣdariqnyanamăncăradmh,nihædɪpweziɪdinɑtðəmənθætaʊt,0.3236929922135707,/home/kesha/dev/uni/kursach/refs/asr/new_audio/37.wav,yrk
38,"Tădtikaădtayna,tyukutaqălʹnyanamăncăradmh,tăinkihnyakunamǣwacʹ",təʧkræftdaɪdɪnitwʊtkətɪŋɔnnorwənsətaʊtbəthumðəkriŋoʊkəmðəwɪlweɪ,0.33691756272401435,/home/kesha/dev/uni/kursach/refs/asr/new_audio/38.wav,yrk
39,"Ta,tităryemhmăncăraqmaădănaqsyanawpoǣnyaki",dɪzjutrɪməθrəməðərstændhoʊpwərhɪdgnɪki,0.36635944700460826,/home/kesha/dev/uni/kursach/refs/asr/new_audio/39.wav,yrk
40,"Ti,siqiwyuqŋămgǣǣwpoona,yekar"".",dɪdsʃiwulɔngoʊpɑnɪʃɪtjugətɪt,0.35535900104058277,/home/kesha/dev/uni/kursach/refs/asr/new_audio/40.wav,yrk
41,"Siqiwyuqmăt""poŋǣwiŋǣbtă",ʃiwɪməʧwɔriərwɛl,0.41865357643758766,/home/kesha/dev/uni/kursach/refs/asr/new_audio/41.wav,yrk
42,Tamălyaŋgănanyerdyenyaŋăcyeki,ənəetɪnweskit,0.5956618464961068,/home/kesha/dev/uni/kursach/refs/asr/new_audio/42.wav,yrk
43,nyeŋăcyekǣminyaărpoypodasʹ,juhædtɪgɪvɪtnɑtɪkwitəbəlðəz,0.34707287933094383,/home/kesha/dev/uni/kursach/refs/asr/new_audio/43.wav,yrk
